Index	Author	MemberID	First/Last Author	Authors	Title	Citation	Year	PMID	Tumor Type(s)
1296	Jackson, David	45	L	Wu, Q. and Luo, A. and Zadrozny, T. and Sylvester, A. and Jackson, D. 	Fluorescent protein marker lines in maize: generation and applications. 	The International Journal of Developmental Biology, 57(6-8) pp. 535-43.	2013	24166436	
1297	Gingeras, Thomas	7		Engström, P. G. and Steijger, T. and Sipos, B. and Grant, G. R. and Kahles, A. and Rätsch, G. and Goldman, N. and Hubbard, T. J. and Harrow, J. and Guigó, R. and Bertone, P. and Alioto, T. and Behr, J. and Bohnert, R. and Campagna, D. and Davis, C. A. and Dobin, A. and Gingeras, T. R. and Jean, G. and Kosarev, P. and Li, S. and Liu, J. and Mason, C. E. and Molodtsov, V. and Ning, Z. and Ponstingl, H. and Prins, J. F. and Ribeca, P. and Seledtsov, I. and Solovyev, V. and Valle, G. and Vitulo, N. and Wang, K. and Wu, T. D. and Zeller, G. 	Systematic evaluation of spliced alignment programs for RNA-seq data. 	Nature Methods, 10(12) pp. 1185-1191.	2013	24185836	
1298	Gingeras, Thomas	7		Steijger, T. and Abril, J. F. and Engström, P. G. and Kokocinski, F. and Akerman, M. and Alioto, T. and Ambrosini, G. and Antonarakis, S. E. and Behr, J. and Bertone, P. and Bohnert, R. and Bucher, P. and Cloonan, N. and Derrien, T. and Djebali, S. and Du, J. and Dudoit, S. and Gerstein, M. and Gingeras, T. R. and Gonzalez, D. and Grimmond, S. M. and Guigó, R. and Habegger, L. and Harrow, J. and Hubbard, T. J. and Iseli, C. and Jean, G. and Kahles, A. and Lagarde, J. and Leng, J. and Lefebvre, G. and Lewis, S. and Mortazavi, A. and Niermann, P. and Rätsch, G. and Reymond, A. and Ribeca, P. and Richard, H. and Rougemont, J. and Rozowsky, J. and Sammeth, M. and Sboner, A. and Schulz, M. H. and Searle, S. M. J. and Solorzano, N. D. and Solovyev, V. and Stanke, M. and Stevenson, B. J. and Stockinger, H. and Valsesia, A. and Weese, D. and White, S. and Wold, B. J. and Wu, J. and Wu, T. D. and Zeller, G. and Zerbino, D. and Zhang, M. Q. 	Assessment of transcript reconstruction methods for RNA-seq. 	Nature Methods, 10(12) pp. 1177-1184.	2013	24185837	
1299	Jackson, David	45		Lituiev, D. S. and Krohn, N. G. and Muller, B. and Jackson, D. and Hellriegel, B. and Dresselhaus, T. and Grossniklaus, U. 	Theoretical and experimental evidence indicates that there is no detectable auxin gradient in the angiosperm female gametophyte. 	Development, 140(22) pp. 4544-4553.	2013	24194471	
1300	Schatz, Michael	23		Saw, J. H. W. and Schatz, M. and Brown, M. V. and Kunkel, D. D. and Foster, J. S. and Shick, H. and Christensen, S. and Hou, S. and Wan, X. and Donachie, S. P. 	Cultivation and Complete Genome Sequencing of Gloeobacter kilaueensis sp. nov., from a Lava Cave in Kīlauea Caldera, Hawai'i.	PLoS One. 2013 Oct 23;8(10):e76376.	2013	24194836	
1301	Siepel, Adam	24		Ma, X. and Kelley, J. L. and Eilertson, K. and Musharoff, S. and Degenhardt, J. D. and Martins, A. L. and Vinar, T. and Kosiol, C. and Siepel, A. and Gutenkunst, R. N. and Bustamante, C. D. 	Population genomic analysis reveals a rich speciation and demographic history of orang-utans (Pongo pygmaeus and Pongo abelii). 	PLoS One, 8(10) pp. e77175.	2013	24194868	
1302	Tanna, Neil	198	F	Tanna N, Lesavoy MA, Abou-Sayed HA, Gruber RP.	Septoturbinotomy.	Aesthet Surg J. 2013 Nov 1;33(8):1199-205.	2013	24197936	
1303	Dubnau, Joshua	40		Reilly, M. T. and Faulkner, G. J. and Dubnau, J. and Ponomarev, I. and Gage, F. H. 	The role of transposable elements in health and diseases of the central nervous system. 	Journal of Neuroscience, 33(45) pp. 17577-86.	2013	24198348	
1304	Ware, Doreen	58	L	Kumari, S. and Ware, D. 	Genome-Wide Computational Prediction and Analysis of Core Promoter Elements across Plant Monocots and Dicots. 	PLoS ONE, 8(10) pp. Art no. e79011.	2013	24205361	
1305	Ware, Doreen	58	L	Monaco, M. K. and Stein, J. and Naithani, S. and Wei, S. and Dharmawardhana, P. and Kumari, S. and Amarasinghe, V. and Youens-Clark, K. and Thomason, J. and Preece, J. and Pasternak, S. and Olson, A. and Jiao, Y. and Lu, Z. and Bolser, D. and Kerhornou, A. and Staines, D. and Walts, B. and Wu, G. and D'Eustachio, P. and Haw, R. and Croft, D. and Kersey, P. J. and Stein, L. and Jaiswal, P. and Ware, D. 	Gramene 2013: comparative plant genomics resources. 	Nucleic Acids Research, 42(Databa) pp. D1193-9.	2014	24217918	
1306	Lee, Annette	68		Lencz T, Guha S, Liu C, Rosenfeld J, Mukherjee S, DeRosse P, John M, Cheng L, Zhang C, Badner JA, Ikeda M, Iwata N, Cichon S, Rietschel M, Nöthen MM, Cheng AT, Hodgkinson C, Yuan Q, Kane JM, Lee AT, Pisanté A, Gregersen PK, Pe'er I, Malhotra AK, Goldman D, Darvasi A.	Genome-wide association study implicates NDST3 in schizophrenia and bipolar disorder.	Nat Commun. 2013;4:2739. 	2013	24253340	
1307	Bernstein, David	188	L	Duddempudi AT, Bernstein DE.	Hepatitis B and C.	Clin Geriatr Med. 2014 Feb;30(1):149-67. 	2014	24267609	
1308	Huang, Z. Josh	43	L	Lazarus, M. S. and Krishnan, K. and Huang, Z. J. 	GAD67 Deficiency in Parvalbumin Interneurons Produces Deficits in Inhibitory Transmission and Network Disinhibition in Mouse Prefrontal Cortex. 	Cerebral Cortex, 25(5) pp. 1290-1296.	2015	24275833	
1309	Ware, Doreen	58		Dharmawardhana, P. and Ren, L. Y. and Amarasinghe, V. and Monaco, M. and Thomason, J. and Ravenscroft, D. and McCouch, S. and Ware, D. and Jaiswal, P. 	A genome scale metabolic network for rice and accompanying analysis of tryptophan, auxin and serotonin biosynthesis regulation under biotic stress. 	Rice, 6(1) pp. 1-15.	2013	24280345	
1310	McCombie, W. Richard	19		Kawahara Y, de la Bastide M, Hamilton JP, Kanamori H, McCombie WR, Ouyang S, Schwartz DC, Tanaka T, Wu J, Zhou S, Childs KL, Davidson RM, Lin H, Quesada-Ocampo L, Vaillancourt B, Sakai H, Lee SS, Kim J, Numa H, Itoh T, Buell CR, Matsumoto T.	Improvement of the Oryza sativa Nipponbare reference genome using next generation sequence and optical map data.	Rice (N Y). 2013 Feb 6;6(1):4.	2013	24280374	
1311	Lipton, Jeffrey;Vlachos, Adrianna	130;71		Williams DA, Bennett C, Bertuch A, Bessler M, Coates T, Corey S, Dror Y, Huang J, Lipton J, Olson TS, Reiss UM, Rogers ZR, Sieff C, Vlachos A, Walkovich K, Wang W, Shimamura A.	Diagnosis and treatment of pediatric acquired aplastic anemia (AAA): an initial survey of the North American Pediatric Aplastic Anemia Consortium (NAPAAC).	Pediatr Blood Cancer. 2014 May;61(5):869-74. 	2014	24285674	
1312	Spector, David	26		Dowen, Jill M. and Bilodeau, Steve and Orlando, David A. and Hübner, Michael R. and Abraham, Brian J. and Spector, David L. andYoung, Richard A. 	Multiple Structural Maintenance of Chromosome Complexes at Transcriptional Regulatory Elements. 	Stem Cell Reports, 1 (5). pp. 371-378. ISSN 2213-6711	2013	24286025	
1313	Enikolopov, Grigori	5		Bilan DS, Matlashov ME, Gorokhovatsky AY, Schultz C, Enikolopov G, Belousov VV.	Genetically encoded fluorescent indicator for imaging NAD(+)/NADH ratio changes in different cellular compartments.	Biochim Biophys Acta. 2014 Mar;1840(3):951-7.	2014	24286672	
1314	Ware, Doreen	58		Campbell, M. S. and Law, M. and Holt, C. and Stein, J. C. and Moghe, G. D. and Hufnagel, D. E. and Lei, J. and Achawanantakun, R. and Jiao, D. and Lawrence, C. J. and Ware, D. and Shiu, S. H. and Childs, K. L. and Sun, Y. and Jiang, N. and Yandell, M. 	MAKER-P: A Tool Kit for the Rapid Creation, Management, and Quality Control of Plant Genome Annotations. 	Plant Physiol, 164(2) pp. 513-24.	2014	24306534	
1315	Ware, Doreen;Jackson, David	58;45	L	Eveland, A. L. and Goldshmidt, A. and Pautler, M. and Morohashi, K. and Liseron-Monfils, C. and Lewis, M. W. and Kumari, S. and Hiraga, S. and Yang, F. and Unger-Wallace, E. and Olson, A. and Hake, S. and Vollbrecht, E. and Grotewold, E. and Ware, D. and Jackson, D. 	Regulatory modules controlling maize inflorescence architecture. 	Genome Research, 24(3) pp. 431-443.	2014	24307553	
1316	Martienssen, Rob	18		Yan, Yiheng and Candreva, Jason and Shi, Hai and Ernst, Evan and Martienssen, Robert and Schwender, Jorg and Shanklin, John 	Survey of the total fatty acid and triacylglycerol composition and content of 30 duckweed species and cloning of a Delta 6-desaturase responsible for the production of gamma-linolenic and stearidonic acids in Lemna gibba. 	BMC Plant Biology, 13	2013	24308551	
1317	Moldwin, Robert	201	L	Shorter B, Ackerman M, Varvara M, Moldwin RM.	Statistical validation of the shorter-moldwin food sensitivity questionnaire for patients with interstitial cystitis/bladder pain syndrome.	J Urol. 2014 Jun;191(6):1793-801. 	2014	24316093	
1318	Koulakov, Alexei	47	L	Wei Y, Tsigankov D, Koulakov A.	The molecular basis for the development of neural maps.	Ann N Y Acad Sci. 2013 Dec;1305:44-60. 	2013	24329485	
1319	Kavoussi, Louis	66	L	Waingankar N, Kavoussi LR.	Another horse is leaving the stable.	BJU Int. 2014 Jan;113(1):7. 	2014	24330060	
1320	Terjanian, Terenig	142	L	Hassan S, Naboush A, Radbel J, Asaad R, Alkaied H, Demissie S, Terjanian T.	Telephone-based anticoagulation management in the homebound setting: a retrospective observational study.	Int J Gen Med. 2013 Dec 3;6:869-75. 	2013	24348065	
1321	Li, Jian Yi	70	L	Liu Z, Li J, Liu Z, Wang Q, Famer P, Mehta A, Chalif D, Wang Y, Li JY.	Supratentorial cortical ependymoma: case series and review of the literature.	Neuropathology. 2014 Jun;34(3):243-52. 	2014	24354554	
1322	Jhaveri, Kenar	193	F	Jhaveri KD, Shah HH, Radhakrishnan J.	The authors reply.	Kidney Int. 2014 Jan;85(1):214. 	2014	24380912	
1323	Lippman, Zachary	50	L	Jiang, K. and Liberatore, K. L. and Park, S. J. and Alvarez, J. P. and Lippman, Z. B. 	Tomato yield heterosis is triggered by a dosage sensitivity of the florigen pathway that fine-tunes shoot architecture. 	PLoS Genetics, 9(12) pp. e1004043.	2013	24385931	
1324	Lee, Annette	68		Mayes MD, Bossini-Castillo L, Gorlova O, Martin JE, Zhou X, Chen WV, Assassi S, Ying J, Tan FK, Arnett FC, Reveille JD, Guerra S, Teruel M, Carmona FD, Gregersen PK, Lee AT, López-Isac E, Ochoa E, Carreira P, Simeón CP, Castellví I, González-Gay MÁ;Spanish Scleroderma Group, Zhernakova A, Padyukov L, Alarcón-Riquelme M, Wijmenga C, Brown M, Beretta L, Riemekasten G, Witte T, Hunzelmann N, Kreuter A, Distler JH, Voskuyl AE, Schuerwegh AJ, Hesselstrand R, Nordin A, Airó P, Lunardi C, Shiels P, van Laar JM, Herrick A, Worthington J, Denton C, Wigley FM, Hummers LK, Varga J, Hinchcliff ME, Baron M, Hudson M, Pope JE, Furst DE, Khanna D, Phillips K, Schiopu E, Segal BM, Molitor JA, Silver RM, Steen VD, Simms RW, Lafyatis RA, Fessler BJ, Frech TM, Alkassab F, Docherty P, Kaminska E, Khalidi N, Jones HN, Markland J, Robinson D, Broen J, Radstake TR, Fonseca C, Koeleman BP, Martin J.	Immunochip analysis identifies multiple susceptibility loci for systemic sclerosis.	Am J Hum Genet. 2014 Jan 2;94(1):47-61.	2014	24387989	
1325	Lee, Annette	68		Okada Y, Wu D, Trynka G, Raj T, Terao C, Ikari K, Kochi Y, Ohmura K, Suzuki A, Yoshida S, Graham RR, Manoharan A, Ortmann W, Bhangale T, Denny JC, Carroll RJ, Eyler AE, Greenberg JD, Kremer JM, Pappas DA, Jiang L, Yin J, Ye L, Su DF, Yang J, Xie G, Keystone E, Westra HJ, Esko T, Metspalu A, Zhou X, Gupta N, Mirel D, Stahl EA, Diogo D, Cui J, Liao K, Guo MH, Myouzen K, Kawaguchi T, Coenen MJ, van Riel PL, van de Laar MA, Guchelaar HJ, Huizinga TW, Dieudé P, Mariette X, Bridges SL Jr, Zhernakova A, Toes RE, Tak PP, Miceli-Richard C, Bang SY, Lee HS, Martin J, Gonzalez-Gay MA, Rodriguez-Rodriguez L, Rantapää-Dahlqvist S, Arlestig L, Choi HK, Kamatani Y, Galan P, Lathrop M;RACI consortium;GARNET consortium, Eyre S, Bowes J, Barton A, de Vries N, Moreland LW, Criswell LA, Karlson EW, Taniguchi A, Yamada R, Kubo M, Liu JS, Bae SC, Worthington J, Padyukov L, Klareskog L, Gregersen PK, Raychaudhuri S, Stranger BE, De Jager PL, Franke L, Visscher PM, Brown MA, Yamanaka H, Mimori T, Takahashi A, Xu H, Behrens TW, Siminovitch KA, Momohara S, Matsuda F, Yamamoto K, Plenge RM.	Genetics of rheumatoid arthritis contributes to biology and drug discovery.	Nature. 2014 Feb 20;506(7488):376-81. 	2014	24390342	
1326	Zhong, Yi	37	L	Lu, B. Y. and Shao, L. S. and Feng, S. X. and Wang, T. and Zhong, Y. 	The beta-alanyl-monoamine synthase ebony is regulated by schizophrenia susceptibility gene dysbindin in Drosophila. 	Science China-Life Sciences, 57(1) pp. 46-51.	2014	24399135	
1327	Jhaveri, Kenar	193		Masani N, Jhaveri KD, Fishbane S.	Update on membranoproliferative GN.	Clin J Am Soc Nephrol. 2014 Mar;9(3):600-8. 	2014	24408117	
1328	Kepecs, Adam	46	F	Kepecs A, Fishell G.	Interneuron cell types are fit to function.	Nature. 2014 Jan 16;505(7483):318-26.	2014	24429630	
1329	Wigler, Michael;Levy, Dan;Iossifov, Ivan	34;48;44	L	Ronemus, M. and Iossifov, I. and Levy, D. and Wigler, M. 	The role of de novo mutations in the genetics of autism spectrum disorders.	Nature Reviews Genetics, 15(2) pp. 133-141.	2014	24430941	
1330	Jhaveri, Kenar	193		Siskind E, Sameyah E, Goncharuk E, Olsen EM, Feldman J, Giovinazzo K, Blum M, Tyrell R, Evans C, Kuncewitch M, Alexander M, Israel E, Bhaskaran M, Calderon K, Jhaveri KD, Sachdeva M, Bellucci A, Mattana J, Fishbane S, D'Agostino C, Coppa G, Molmenti E.	Removal of foley catheters in live donor kidney transplant recipients on postoperative day 1 does not increase the incidence of urine leaks.	Int J Angiol. 2013 Mar;22(1):45-8. 	2013	24436583	
1331	Jhaveri, Kenar	193		Villa M, Siskind E, Sameyah E, Alex A, Blum M, Tyrell R, Fana M, Mishler M, Godwin A, Kuncewitch M, Alexander M, Israel E, Bhaskaran M, Calderon K, Jhaveri KD, Sachdeva M, Bellucci A, Mattana J, Fishbane S, Coppa G, Molmenti E.	Shortened length of stay improves financial outcomes in living donor kidney transplantation.	Int J Angiol. 2013 Jun;22(2):101-4.	2013	24436592	
1332	Van Aelst, Linda	33	L	Tai, Y. and Janas, J. A. and Wang, C. L. and Van Aelst, L. 	Regulation of Chandelier Cell Cartridge and Bouton Development via DOCK7-Mediated ErbB4 Activation.	Cell Reports, 6(2) pp. 254-63.	2014	24440718	
1333	Krainer, Adrian R.	14	L	Jensen, M. A. and Wilkinson, J. E. and Krainer, A. R. 	Splicing factor SRSF6 promotes hyperplasia of sensitized skin. 	Nature Structural and Molecular Biology, 21 pp. 189-197.	2014	24440982	
1334	Schulder, Michael	77		Nuttin B, Wu H, Mayberg H, Hariz M, Gabriëls L, Galert T, Merkel R, Kubu C, Vilela-Filho O, Matthews K, Taira T, Lozano AM, Schechtmann G, Doshi P, Broggi G, Régis J, Alkhani A, Sun B, Eljamel S, Schulder M, Kaplitt M, Eskandar E, Rezai A, Krauss JK, Hilven P, Schuurman R, Ruiz P, Chang JW, Cosyns P, Lipsman N, Voges J, Cosgrove R, Li Y, Schlaepfer T.	Consensus on guidelines for stereotactic neurosurgery for psychiatric disorders.	J Neurol Neurosurg Psychiatry. 2014 Sep;85(9):1003-8. 	2014	24444853	
1335	Martienssen, Rob;Joshua-Tor, Leemor	18;12	L	Kuscu, C. and Zaratiegui, M. and Kim, H. S. and Wah, D. A. and Martienssen, R. A. and Schalch, T. and Joshua-Tor, L. 	CRL4-like Clr4 complex in Schizosaccharomyces pombe depends on an exposed surface of Dos1 for heterochromatin silencing. 	Proceedings of the National Academy of Sciences of the United States of America, 111(5) pp. 1795-1800.	2014	24449894	
1336	Siepel, Adam	24		Freedman, A. H. and Gronau, I. and Schweizer, R. M. and Ortega-Del Vecchyo, D. and Han, E. and Silva, P. M. and Galaverni, M. and Fan, Z. and Marx, P. and Lorente-Galdos, B. and Beale, H. and Ramirez, O. and Hormozdiari, F. and Alkan, C. and Vila, C. and Squire, K. and Geffen, E. and Kusak, J. and Boyko, A. R. and Parker, H. G. and Lee, C. and Tadigotla, V. and Siepel, A. and Bustamante, C. D. and Harkins, T. T. and Nelson, S. F. and Ostrander, E. A. and Marques-Bonet, T. and Wayne, R. K. and Novembre, J. 	Genome sequencing highlights the dynamic early history of dogs. 	PLoS Genetics, 10(1) pp. e1004016.	2014	24453982	
1337	Furukawa, Hiro	41	L	Jespersen, A. and Tajima, N. and Fernandez-Cuervo, G. and Garnier-Amblard, E. C. and Furukawa, H. 	Structural Insights into Competitive Antagonism in NMDA Receptors. 	Neuron, 81(2) pp. 366-78.	2014	24462099	
1338	Kavoussi, Louis;Richstone, Lee	192;66	L	Duty BD, Kreshover JE, Richstone L, Kavoussi LR.	Review of appendiceal onlay flap in the management of complex ureteric strictures in six patients.	BJU Int. 2015 Feb;115(2):282-7. 	2015	24471943	
1339	Steinberg, Bettie	82	L	Lucs AV, Abramson AL, Steinberg BM.	Overexpressed β-catenin localizes to plasma membrane in respiratory papillomas.	J Invest Dermatol. 2014 Jun;134(6):1760-3.	2014	24476624	
1340	Kinney, Justin;Atwal, Gurinder	13;1	F/L	Kinney, J. B. and Atwal, G. S. 	Parametric inference in the large data limit using maximally informative models.	Neural Comput. 2014 Apr;26(4):637-53.	2013	24479782	
1341	Gillis, Jesse	42	F	Gillis, J. and Ballouz, S. and Pavlidis, P. 	Bias tradeoffs in the creation and analysis of protein-protein interaction networks. 	Journal of Proteomics, 100 pp. 44-54.	2014	24480284	
1342	Huang, Z. Josh	43	F	Huang, Z. J. and Taniguchi, H. and He, M. and Kuhlman, S. 	Genetic labeling of neurons in mouse brain. 	Cold Spring Harb Protoc, 2014(2) pp. 150-60.	2014	24492776	
1343	Huang, Z. Josh	43	F	Huang, Z. J. and Taniguchi, H. and He, M. and Kuhlman, S. 	Cre-dependent adeno-associated virus preparation and delivery for labeling neurons in the mouse brain. 	Cold Spring Harb Protoc, 2014(2) pp. 190-4.	2014	24492777	
1344	Brody, Judith;Hsu, Peihong;Zhang, Xinmin	155;154;152	F	Hsu P, Zantek ND, Meijer P, Hayward CP, Brody J, Zhang X, Smock KJ, Van Cott EM.	Factor XIII Assays and associated problems for laboratory diagnosis of factor XIII deficiency: an analysis of International Proficiency testing results.	Semin Thromb Hemost. 2014 Mar;40(2):232-8. 	2014	24497117	
1345	Hsu, Peihong	154		Smock KJ, Ledford-Kraemer MR, Meijer P, Hsu P, Van Cott EM.	Proficiency testing results for heparin-induced thrombocytopenia in north america.	Semin Thromb Hemost. 2014 Mar;40(2):254-60.	2014	24497121	
1346	Lippman, Zachary	50	L	Park, Soon Ju and Eshed, Yuval and Lippman, Zachary B. 	Meristem maturation and inflorescence architecture-lessons from the Solanaceae. 	Current Opinion in Plant Biology, 17 pp. 70-77.	2014	24507497	
1347	Kepecs, Adam	46	L	Hangya B, Pi HJ, Kvitsiani D, Ranade SP, Kepecs A.	From circuit motifs to computations: mapping the behavioral repertoire of cortical interneurons.	Curr Opin Neurobiol. 2014 Jun;26:117-24. 	2014	24508565	
1348	Gingeras, Thomas	7	L	Batut, P. and Gingeras, T. R. 	RAMPAGE: Promoter activity profiling by paired-end sequencing of 5'-complete cDNAs. 	Current Protocols in Molecular Biology, (SUPPL) pp. Unit25B.	2013	24510412	
1349	Devoe, Craig;Jhaveri, Kenar	193;99	F/L	Jhaveri KD, Chidella S, Varghese J, Mailloux L, Devoe C.	Carfilzomib-related acute kidney injury.	Clin Adv Hematol Oncol. 2013;11(9):604-5. 	2013	24518527	
1350	Li, Bo	49	L	Penzo, M. A. and Robert, V. and Li, B. 	Fear Conditioning Potentiates Synaptic Transmission onto Long-Range Projection Neurons in the Lateral Subdivision of Central Amygdala. 	Journal of Neuroscience, 34(7) pp. 2432-7.	2014	24523533	
1351	Lipton, Jeffrey	71		Ban N, Beckmann R, Cate JH, Dinman JD, Dragon F, Ellis SR, Lafontaine DL, Lindahl L, Liljas A, Lipton JM, McAlear MA, Moore PB, Noller HF, Ortega J, Panse VG, Ramakrishnan V, Spahn CM, Steitz TA, Tchorzewski M, Tollervey D, Warren AJ, Williamson JR, Wilson D, Yonath A, Yusupov M.	A new system for naming ribosomal proteins.	Curr Opin Struct Biol. 2014 Feb;24:165-9.	2014	24524803	
1352	Spector, David	26	L	Bergmann, Jan H. and Spector, David L. 	Long non-coding RNAs: modulators of nuclear structure and function. 	Current Opinion in Cell Biology, 26. pp. 10-18.	2014	24529241	
1353	Stenlund, Arne;Joshua-Tor, Leemor	27;12	L	Lee, S. J. and Syed, S. and Enemark, E. J. and Schuck, S. and Stenlund, A. and Ha, T. and Joshua-Tor, L. 	Dynamic look at DNA unwinding by a replicative helicase. 	Proceedings of the National Academy of Sciences of the United States of America, 111(9) pp. E827-35.	2014	24550505	
1354	Kinney, Justin;Atwal, Gurinder	13;1	F/L	Kinney, J. B. and Atwal, G. S. 	Equitability, mutual information, and the maximal information coefficient. 	Proceedings of the National Academy of Sciences of the United States of America, 111(9) pp. 3354-9.	2014	24550517	
1355	Hannon, Gregory;Hammell, Molly	10;9		Meikar, O. and Vagin, V. V. and Chalmel, F. and Sostar, K. and Lardenois, A. and Hammell, M. and Jin, Y. and Da Ros, M. and Wasik, K. A. and Toppari, J. and Hannon, G. J. and Kotaja, N. 	An atlas of chromatoid body components. 	RNA, 20(4) pp. 483-95.	2014	24554440	
1356	Taioli, Emanuela	207	L	Gallucci M, Flores-Obando R, Mazzuco S, Ongaro F, Di Giorgi E, Boldrini P, Durante E, Frigato A, Albani D, Forloni G, Zanardo A, Siculi M, Caberlotto L, Taioli E.	Melatonin and the Charlson Comorbidity Index (CCI): the Treviso Longeva (Trelong) study.	Int J Biol Markers. 2014 Sep 30;29(3):e253-60.	2014	24557791	
1357	Blanc, Lionel;Lipton, Jeffrey;Liu, Johnson;Singh, Sharon	80;72;71;61	F/L	Singh SA, Goldberg TA, Henson AL, Husain-Krautter S, Nihrane A, Blanc L, Ellis SR, Lipton JM, Liu JM.	p53-Independent cell cycle and erythroid differentiation defects in murine embryonic stem cells haploinsufficient for Diamond Blackfan anemia-proteins: RPS19 versus RPL5.	PLoS One. 2014 Feb 18;9(2):e89098. 	2014	24558476	
1358	Okeke, Zeph	200	L	Friedlander JI, Moreira DM, Hartman C, Elsamra SE, Smith AD, Okeke Z.	Age-related changes in 24-hour urine composition must be considered in the medical management of nephrolithiasis.	J Endourol. 2014 Jul;28(7):871-6. 	2014	24571654	
1359	Timmermans, Marja	55		Li, L. and Eichten, S. R. and Shimizu, R. and Petsch, K. and Yeh, C. T. and Wu, W. and Chettoor, A. M. and Givan, S. A. and Cole, R. A. and Fowler, J. E. and Evans, M. M. and Scanlon, M. J. and Yu, J. and Schnable, P. S. and Timmermans, M. C. and Springer, N. M. and Muehlbauer, G. J. 	Genome-wide discovery and characterization of maize long non-coding RNAs. 	Genome Biology, 15(2) pp. R40.	2014	24576388	
1360	Spector, David	26	L	Eckersley-Maslin, M. A. and Thybert, D. and Bergmann, J. H. and Marioni, J. C. and Flicek, P. and Spector, D. L. 	Random Monoallelic Gene Expression Increases upon Embryonic Stem Cell Differentiation. 	Developmental Cell, 28 (4). pp. 351-65.	2014	24576421	
1361	Spector, David	26		Bell, R. D. and Long, X. and Lin, M. and Bergmann, J. H. and Nanda, V. and Cowan, S. L. and Zhou, Q. and Han, Y. and Spector, D. L. and Zheng, D. and Miano, J. M. 	Identification and Initial Functional Characterization of a Human Vascular Cell-Enriched Long Noncoding RNA. 	Arteriosclerosis, thrombosis, and vascular biology, 34 (6). pp. 1249-1259. 	2014	24578380	
1362	Lee, Je H.	16	F	Lee JH, Daugharthy ER, Scheiman J, Kalhor R, Yang JL, Ferrante TC, Terry R, Jeanty SS, Li C, Amamoto R, Peters DT, Turczyk BM, Marblestone AH, Inverso SA, Bernard A, Mali P, Rios X, Aach J, Church GM.	Highly multiplexed subcellular RNA sequencing in situ.	Science. 2014 Mar 21;343(6177):1360-3. 	2014	24578530	
1363	Shea, Stephen	54	L	Cazakoff, B. N. and Lau, B. Y. and Crump, K. L. and Demmer, H. S. and Shea, S. D. 	Broadly tuned and respiration-independent inhibition in the olfactory bulb of awake mice. 	Nat Neurosci. 2014 Apr;17(4):569-76.	2014	24584050	
1364	Turner, Glenn	57	L	Campbell, R. A. and Eifert, R. W. and Turner, G. C. 	Openstage: a low-cost motorized microscope stage with sub-micron positioning accuracy. 	PLoS One, 9(2) pp. e88977.	2014	24586468	
1365	Mitra, Partha P.	52	L	Kleinfeld, D. and Mitra, P. P. 	Spectral methods for functional brain imaging. 	Cold Spring Harbor Protocols, 2014(3) pp. 248-62.	2014	24591695	
1366	Mitra, Partha P.	52		Striedter, G. F. and Belgard, T. G. and Chen, C. C. and Davis, F. P. and Finlay, B. L. and Gunturkun, O. and Hale, M. E. and Harris, J. A. and Hecht, E. E. and Hof, P. R. and Hofmann, H. A. and Holland, L. Z. and Iwaniuk, A. N. and Jarvis, E. D. and Karten, H. J. and Katz, P. S. and Kristan, W. B. and Macagno, E. R. and Mitra, P. P. and Moroz, L. L. and Preuss, T. M. and Ragsdale, C. W. and Sherwood, C. C. and Stevens, C. F. and Stuttgen, M. C. and Tsumoto, T. and Wilczynski, W. 	NSF Workshop Report: Discovering General Principles of Nervous System Organization by Comparing Brain Maps across Species. 	Brain, Behavior and Evolution, 83(1) pp. 1-8.	2014	24603302	
1367	Jackson, David	45		Chen, H. and Jackson, D. and Kim, J. Y. 	Identification of evolutionarily conserved amino acid residues in homeodomain of KNOX proteins for intercellular trafficking	Plant Signal Behav. 2014;9(3):e28355.	2014	24603432	
1368	Jhaveri, Kenar	193	F	Jhaveri KD, Fishbane S.	Glomerular diseases: entering a new era.	Clin J Am Soc Nephrol. 2014 Mar;9(3):598-9. 	2014	24607910	
1369	Vaiselbuh, Sarah	84	F	Vaiselbuh SR, Bryceson YT, Allen CE, Whitlock JA, Abla O.	Updates on histiocytic disorders.	Pediatr Blood Cancer. 2014 Jul;61(7):1329-35.	2014	24610771	
1370	Lesser, Martin	69		Hall MH, Esposito RA, Pekmezaris R, Lesser M, Moravick D, Jahn L, Blenderman R, Akerman M, Nouryan CN, Hartman AR.	Cardiac surgery nurse practitioner home visits prevent coronary artery bypass graft readmissions.	Ann Thorac Surg. 2014 May;97(5):1488-93;discussion 1493-5.	2014	24612701	
1371	Krainer, Adrian R.	14		Weyn-Vanhentenryck, Sebastien M. and Mele, A. and Yan, Q. and Sun, S. and Farny, N. and Zhang, Z. and Xue, C. and Herre, M. and Silver, Pamela A. and Zhang, Michael Q. and Krainer, Adrian R. and Darnell, Robert B. and Zhang, C. 	HITS-CLIP and Integrative Modeling Define the Rbfox Splicing-Regulatory Network Linked to Brain Development and Autism. 	Cell Reports, 6(6) pp. 1139-1152.	2014	24613350	
1372	Costantino, Peter	204		Nossek E, Costantino PD, Eisenberg M, Dehdashti AR, Setton A, Chalif DJ, Ortiz RA, Langer DJ.	Internal maxillary artery-middle cerebral artery bypass: infratemporal approach for subcranial-intracranial (SC-IC) bypass.	Neurosurgery. 2014 Jul;75(1):87-95. 	2014	24618804	
