Index	Inst	Title	PI	Local PI	MemberID	Phase	Sponsor	Sponsor Type	Type	Age	Trial IDs	Tumor Type(s)
225	NSLIJ 	Breast-Conserving Surgery and Radiation Therapy in Treating Patients with Multiple Ipsilateral Breast Cancer	Judy C. Szemere Boughey	Dominic Filiardi, MD		No phase specified	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 40 and over	 Z11102, NCI-2012-00707, ACOSOG-Z11102, CDR0000728605, NCT01556243	Breast
226	Feinstein Institute	Impact of Breast Conservation Surgery on Surgical Outcomes and Cosmesis in Patients with Multiple Ipsilateral Breast Cancers (MIBC)		Dominic Filiardi, MD		No phase specified			Health Services Research, Treatment	female 40 years of age or older	14-086B	Breast
227	Feinstein Institute	Chemotherapy plus Cetuximab in Combination with VTX-2337 in Patients with Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck		Doru Paul, MD	109	No phase specified			Treatment	18 years of age or older	13-06-304-03	Head & Neck
228	Feinstein Institute	A Pilot Study Treatment of Malignant Tumors using [18F] Fluorodeoxyglucose (FDG)		Doru Paul, MD	109	No phase specified			Treatment	21 years of age or older	13-382	Lymphoma; Solid Tumors
229	Feinstein Institute	Oral CO-1686 in Patients with Previously Treated Mutant EGFR Non-Small Cell Lung Cancer (NSCLC)		Doru Paul, MD	109	No phase specified			Treatment	18 years of age or older	14-06-320-03	Lung
230	Feinstein Institute	Blood Stem Cell with Marrow Transplantation Study		Indira Sahdev, MD	114	No phase specified			Treatment?		03-155	UNK
231	Feinstein Institute	Allogeneic HSCT in Pediatric Solid Tumors and Lymphomas 		Indira Shadev, MD	114	No phase specified			Treatment?		05-016T	Lymphoma; Solid Tumors?
232	Feinstein Institute	An Extension Study to Investigate the Safety and Durability of Clinical Activity of CAL-101 in Patients with Hematologic Malignancies		Jacqueline Barrientos, MD	139	No phase specified			Treatment	18 or older	12-06-59-03	Leukemia; Lymphoma; Myeloma
233	NSLIJ	Compliance Rate of Delayed Oophorectomy in Patients with BRCA Gene Mutation Undergoing Salpingectomy	Denise Renee Nebgen	Jean A. Hurteau, MD	211	No phase specified	MD Anderson; NCI	IIT; NCI	 Prevention, Screening	 35 to 46	 2013-0340, NCI-2015-00465, NCT01907789	Breast; Ovary
234	Feinstein Institute	Allogeneic Stem Cell Transplantation of NiCord®, Umbilical Cord Blood-derived Ex Vivo Expanded Stem and Progenitor Cells, in Adolescent and Adult Patients with Hematological Malignancies		Joel A. Brochstein, MD	117	No phase specified			Treatment	at least 12 years of age	14-10-84-06A	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
235	NSHS-Children's	Effects of Dexrazoxane Hydrochloride on Biomarkers Associated with Cardiomyopathy and Heart Failure after Cancer Treatment	Eric J. Chow	Jonathan Fish, MD	116	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Natural history/Epidemiology	 Not specified	 ALTE11C2, NCI-2012-03196, S0004187, NCT01790152	Peds
236	Feinstein Institute	Health Effects after Anthracycline and Radiation Therapy (HEART): Dexrazoxane and Prevention of Anthracycline-related Cardiomyopathy		Jonathan Fish, MD	116	No phase specified			Health Services Research, Natural History/Epidemiology?		E14-105	Any
237	Feinstein Institute	Randomized Controlled Study of Neurocognitive Outcomes in Patients with Five or More Brain Metastases Treated with Radiosurgery or Whole Brain Radiotherapy		Jonathan Knisely, MD	175	No phase specified			Behavioral Study, Treatment	18 years of age or older	14-059A	Brain; Mets
238	Feinstein Institute	Evaluation of Time Delayed magnetic Resonance Imaging using a High Relaxivity Agent to Improve Detection of Brain Metastatic Disease		Jonathan Knisely, MD	175	No phase specified			Screening?	18 or older	11-356A	Brain; Mets
239	Feinstein Institute	Comparing Single Cell Network Profiling (SCNP) Signaling Readouts in Fresh vs. Cryopreserved Aliquots from Bone Marrow (BM) and/or Peripheral Blood (PB) Samples Collected at Time of Diagnosis from Patients with non-M3 Acute Myeloid Leukemia (AML)		Jonathan Kolitz, MD	67	No phase specified			Biomarker/Laboratory Analysis	18 or older	12-112B	Leukemia
240	LIJ	Study of Biomarkers in Blood and Bone Marrow Samples from Patients with Previously Untreated Chronic Lymphocytic Leukemia	John C. Byrd	Kanti Rai, MD	76	No phase specified	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis	 Not specified	 CALGB 20203, NCI-2009-00458, CDR0000398201, NCT01005368	Leukemia
241	NSLIJ 	Study of Biomarkers in Blood and Bone Marrow Samples from Patients with Previously Untreated Chronic Lymphocytic Leukemia	John C. Byrd	Kanti Rai, MD	76	No phase specified	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis	 Not specified	 CALGB 20203, NCI-2009-00458, CDR000	Leukemia
242	Feinstein Institute	Chronic Lymphocytic Leukemia - Tissue Collection Study 		Kanti Rai, MD	76	No phase specified	Chronic Lymphocytic Leukemia Research Consortium (CRC)	Coop Group; NCI	Tissue collection/Repository		04.04.012T	Leukemia
243	Feinstein Institute	Olaparib as Adjuvant Treatment in Patients With Germline BRCA Mutated High Risk HER2 Negative Primary Breast Cancer 		Lora Weiselberg, MD	104	No phase specified			Treatment	female or male 18 years of age or older	E14-412	Breast
244	Feinstein Institute	The Men’s Eating and Living (MEAL) Study: A Randomized Trial of Diet to Alter Disease Progression in Prostate Cancer Patients on Active Surveillance		Manish Vira, MD	184	No phase specified			Public health intervention	between the ages of 50 and 80	11-333B	Prostate
245	Feinstein Institute	Brain Tumor - Tissue Donation Study		Marc Symons, PhD	83	No phase specified	North Shore-LIJ Heath System	IIT	Tissue collection/Repository		06-086	Brain
246	Feinstein Institute	Assessment of Overall Survival of FOLFOX6m plus SIR-Spheres® microspheres versus FOLFOX6m alone as first-line treatment in patients with non-resectable liver metastases from primary colorectal carcinoma in a randomised clinical study		Mark A. Westcott, MD		No phase specified			Treatment	18 years or older	20130019	Colorectal; Liver; Mets
247	NSHS-Children's	Neuropsychological and Behavioral Testing in Younger Patients with Cancer	Leanne M. Embry	Mark P. Atlas, MD	129	No phase specified	Children's Oncology Group; NCI	Coop Group; NCI	 Natural history/Epidemiology	 3 to 21	 ALTE07C1, NCI-2009-00383, CDR0000594326, COG-ALTE07C1, NCT00772200	Peds
248	Feinstein Institute	Glioblastoma-Adults 		Michael Schulder, MD	77	No phase specified			?	at least 18 years of age, man or woman 	Protocol 100-200 (12-06-109)	Brain
249	NSLIJ	Changes in Brain Function in Patients with Breast Cancer or Lymphoma Receiving Chemotherapy	Michelle C. Janelsins	Michelle C. Janelsins		No phase specified	University of Rochester NCORP Research Base; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Supportive care	 Not specified	 URCC10055, NCI-2011-02878, 10055, CDR0000697582, NCT01382082	Breast; Lymphoma
250	Feinstein Institute	Clinical and Biological Predictors of Chemotherapy Toxicity in Older Adults- City of Hope		Myra Barginear, MD	143	No phase specified			Biomarker/Laboratory Analysis	at least 65 or older	13-157	Breast
251	Feinstein Institute	Prospective Registry of MammaPrint in breast cancer patients with an Intermediate recurrence Score (PROMIS)		Myra Barginear, MD	143	No phase specified			Registry	18 or older	12-06-379-03	Breast
252	Feinstein Institute	Human Blood Cell Disorders Tissue Bank		Nicholas Chiorazzi, MD	63	No phase specified			Tissue collection/Repository		08-202	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
253	NSHS-Children's	Long-Term Effects of Cancer Therapy in Patients With Wilms' Tumor	Wendy Leisenring	Norman Breslow		No phase specified	National Wilms Tumor Study Group; NCI	Coop Group; NCI	 Natural history/Epidemiology	 18 to 85	 COG-4941L, NCI-2009-00715, CDR0000069131, IRB00024842, Q9403, NCT00228696	Kidney
254	Feinstein Institute	A Multicenter Access and Distribution Protocol for Unlicensed Cryopreserved Cord Blood Units (CBUs) for Transplantation in Pediatric and Adult Patients with Hematologic Malignancies and Other Indications		Ruthee-Lu Bayer, MD	97	No phase specified			Health Services Research?		11-230A	Leukemia; Lymphoma; Myeloma
255	Feinstein Institute	Autologous Stem Cell Transplant with Pomalidomide (CC-4047) Maintenance vs Continuous Clarithromycin/ Pomalidomide/ Dexamethasone Salvage Therapy in Relapsed or Refractory Multiple Myeloma		Ruthee-Lu Bayer, MD	97	No phase specified			Treatment	18 years or older	13-093B	Multiple Myeloma
256	Feinstein Institute	PNH Registry		Steven Allen, MD	60	No phase specified			Registry		07-08-259-03	UNK
257	Feinstein Institute	Can Diet and Physical Activity Modulate Ovarian, Fallopian Tube and Primary Peritoneal Cancer Progression-Free Survival?		Veena Susan John, MD	95	No phase specified			Public health intervention	18 or older	12-330B	Ovary; Fallopian; Primary Peritoneal
258	Feinstein Institute	Carboplatin and Paclitaxel (or Gemcitabine) Alone or in Combination with Bevacizumab Followed by Bevacizumab and Secondary Cytoreductive Surgery in Platinum-Sensitive, Recurrent Ovarian, Peritoneal Primary and Fallopian Tube Cancer		Veena Susan John, MD	95	No phase specified			Treatment	18 or older	08-150A	Ovary; Fallopian; Primary Peritoneal
259	Feinstein Institute	A Randomized Trial of Pelvic Irradiation With or Without Concurrent Weekly Cisplatin in Patients with Pelvic-Only Recurrence of Carcinoma of the Uterine Corpus		Veena Susan John, MD	95	No phase specified			Treatment	18 or older	10-175B	Uterus
260	LIJ; NSLIJ	Anastrozole in Treating Aromatase Inhibitor Musculoskeletal Symptoms in Female Patients with Stage I-III Breast Cancer	Vered Stearns	Vincent Vinciguerra, MD	85	No phase specified	ECOG-ACRIN Cancer Research Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Supportive care	 18 and over	 E1Z11, NCI-2013-00426, ECOG-E1Z11, NCT01824836	Breast
261	Feinstein Institute	A Cohort Study to Evaluate Genetic Predictors for Aromatase Inhibitor Musculoskeletal Symptoms (AIMSS)		Vincent Vinciguerra, MD	85	No phase specified			Natrual History/Epidemiology		13-605A	Breast
262	Feinstein Institute	Assessment of Cognitive Function in Breast Cancer and Lymphoma Patients Receiving Chemotherapy at Pre-Treatment, Post-Treatment and at Six Month Follow-up 		Vincent Vinciguerra, MD	85	No phase specified			Supportive Care, Behavioral Study	21 or older	11-196A	Breast; Lymphoma
263	Cold Spring Harbor	PEGPH20 and Cetuximab before Surgery in Treating Patients with Pancreatic Cancer That Can Be Removed by Surgery	Kenneth Ho-Ming Yu	David Tuveson, MD, PhD	31	No phase specified	Memorial Sloan-Kettering Cancer Center; NCI	IIT; NCI	Diagnostic, Treatment	18 and over	14-039, NCI-2014-01977, NCT02241187	Pancreas
264	Fred Hutch	A Study Of 4-1BB Agonist PF-05082566 Plus PD-1 Inhibitor MK-3475 In Patients With Solid Tumors (B1641003/KEYNOTE-0036)	Laura Q.M. Chow	Laura Q.M. Chow		No phase specified	Pfizer Inc; Merck and Company Inc	Pharma	Treatment			Solid Tumor; Mets
265	Feinstein Institute	An Open Label, First-in-Human Study of the Safety, Tolerability and Pharmacokinetics of VX-970 in Combination with Cytotoxic Chemotherapy in Subjects with Advanced Solid Tumors		Craig Devoe, MD	99	Phase I			Treatment	18 years or older	13-06-337Q-03N	Solid Tumors
266	Feinstein Institute	Phase I Trial of Super-Selective Intraarterial Cerebral Infusion of Temozolomide (Temodar) for Treatment of Newly Diagnosed Glioblastoma Multiforme and Anaplastic Astrocytoma		John Boockvar, MD	189	Phase I			Treatment	18 years of age or older	14-292A	Brain
267	Feinstein Institute	Phase I Trial of Super-Selective Intraarterial Cerebral Infusion of Cetuximab (Erbitux) for Treatment of Relapsed/Refractory Glioblastoma Multiforme and Anaplastic Astrocytoma		John Boockvar, MD	189	Phase I			Treatment	18 years of age of older	14-712	Brain
268	Feinstein Institute	Phase I Trial of Super-Selective Intra-Arterial Infusion of Cetuximab (Erbitux) with or without Radiation Therapy for the Treatment of Unresectable Recurrent Squamous Cell Carcinoma of the Head and Neck		John Boockvar, MD	189	Phase I			Treatment	18 years of age or older	15-182	Head & Neck
269	Feinstein Institute	Phase I Study of Stereotactic Body Radiation Therapy (SBRT) For Organ Confined Prostate Cancer		Louis Potters, MD	75	Phase I			Treatment	18 and older	10-128B	Prostate
270	Feinstein Institute	A Phase I Trial of IMRT with Dose-Escalated Image-Guided Stereotactic Radiosurgery (SRS) Boost for Human Papilloma Virus (HPV)-Unassociated Oropharyngeal Cancer		Maged Ghaly, MD	122	Phase I			Treatment	18 or older	09-309A	Head & Neck
271	NSHS-Children's	Lenalidomide and Radiation Therapy in Treating Younger Patients with Pontine Glioma or High-Grade Glioma	Katherine Elizabeth Warren	Mark P. Atlas, MD	129	Phase I	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 21 and under	 10-C-0219, NCI-2011-02539, 100219, CDR0000687467, NCI-10-C-0219, NCT01226940, 8449, NCT01222754	Brain
272	Feinstein Institute	A Phase 1b Study Evaluating the Safety and Tolerability of ABT-199 in Combination with Rituximab in Subjects with Relapsed or Previously Untreated Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma		Jacqueline Barrientos, MD	139	Phase I/II			Treatment	18 or older	12-06-203-06	Leukemia; Lymphoma
273	Feinstein Institute	Phase I/II Trial of Repeated Super-Selective Intraarterial Cerebral Infusion of Bevacizumab (Avastin) for Treatment of Newly Diagnosed Glioblastoma Multiforme		John Boockvar, MD	189	Phase I/II			Treatment	18 years of age or older	14-352	Brain
274	Feinstein Institute	Phase I/II Trial of Repeated Super-Selective Intraarterial Cerebral Infusion of Bevacizumab (Avastin) for Treatment of Relapsed/Refractory Glioblastoma Multiforme and Anaplastic Astrocytoma		John Boockvar, MD	189	Phase I/II			Treatment	18 years of age or older	14-353	Brain
275	NSHS-SI	Bortezomib, Dexamethasone, and Lenalidomide with or without Elotuzumab in Treating Patients with Newly Diagnosed High-Risk Multiple Myeloma	Saad Zafar Usmani	Marcel Odaimi, MD	148	Phase I/II	SWOG; NCI	Coop Group; NCI	 Treatment	 18 and over	 S1211, NCI-2012-01998, CDR0000738512, PS1211_A12PAMDREVW01, SWOG-S1211, NCT01668719	Multiple Myeloma
276	Feinstein Institute	EMRI TRUS Fusion Guided Prostate Biopsy - An Improved Way to Detect and Quantify Prostate Cancer - A Phase II Study 		Ardeshir Rastinehad, DO		Phase II			Health Services Research, Screening	18 years of age or older	11-322A	Prostate
277	NSHS-Children's	Combination Chemotherapy with or without Ganitumab in Treating Patients with Newly Diagnosed Metastatic Ewing Sarcoma	Steven G. DuBois	Arlene Sara Redner, MD	119	Phase II	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 50 and under	 AEWS1221, NCI-2014-02380, NCT02306161	Sarcoma
278	Feinstein Institute	A Multi-Center, Randomized, Placebo-Controlled Phase II Study of Regorafenib in Combination with FOLFIRI (Irinotecan, 5-Fluorouracil, and Leucovorin) Versus Placebo with FOLFIRI Second-Line Therapy in Patients with Metastatic Colorectal Cancer		Craig Devoe, MD	99	Phase II			Treatment	18 or older	13-050B	Colorectal
279	Feinstein Institute	A Phase 2, Randomized, Multicenter Study of PEGPH20 Combined with nab-Paclitaxel Plus Gemcitabine Compared With nab-Paclitaxel Plus Gemcitabine in Subjects With Stage IV Previously Untreated Pancreatic Cancer		Craig Devoe, MD	99	Phase II			Treatment	18 or older	13-06-63-03N	Pancreas
280	LIJ	Combination Chemotherapy with or without Regorafenib in Treating Patients with Metastatic Colorectal Cancer	Hanna Kelly Sanoff	Craig Devoe, MD	99	Phase II	University of North Carolina at Chapel Hill; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 LCCC 1029, NCI-2013-00954, 10-2176, NCT01298570	Colorectal
281	NSLIJ 	Dabrafenib and Trametinib in Treating Patients with Stage III-IV BRAF Mutant Melanoma That Cannot Be Removed by Surgery	Alain Patrick Algazi	Craig Devoe, MD	99	Phase II	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 S1320, NCI-2014-01470, NCT02196181	Melanoma
282	Feinstein Institute	A Multicenter, Open-Label, Phase 2 Study of the Bruton’s Tyrosine Kinase (BTK) Inhibitor, Ibrutinib, in Subjects with Relapsed/Refractory Marginal Zone Lymphoma		Jacqueline Barrientos, MD	139	Phase II			Treatment	man or woman 18 years of age or older	14-06-248	Lymphoma
283	Feinstein Institute	A Randomized Phase II Study of Ibrutinib (PCI-32765) Based Therapy vs. Standard Fludarabine, Cyclophosphamide and Rituximab (FCR) Chemoimmunotherapy in Untreated Younger Patients with Chronic Lymphocytic Leukemia (CLL)		Jacqueline Barrientos, MD	139	Phase II			Treatment	between the ages of 18 and 70	E14-324	Leukemia
284	Feinstein Institute	An Open-Label, Randomized, Phase 2, Parallel, Dose-Ranging, Multicenter, Study of Sotatercept for the Treatment of Patients with Anemia and Low or Intermediate-1 Risk Myelodysplastic Syndromes		Johnson Liu, MD	72	Phase II			Treatment	18 or older	12-06-342-03	Myelodysplastic Syndrome
285	Feinstein Institute	A Randomized Phase II Trial of Concurrent Bevacizumab and Re-Irradiation vs Bevacizumab Alone as Treatment for Recurrent Glioblastoma		Jonathan Knisely, MD	175	Phase II			Treatment	18 years of age or older	14-012A	Brain
286	NSLIJ; NSHS-SS	Bevacizumab with or without Radiation Therapy in Treating Patients with Recurrent Glioblastoma	Christina I. Tsien	Jonathan Knisely, MD	175	Phase II	NRG Oncology; NCI	Coop Group; NCI	 Treatment	 18 and over	 RTOG 1205, NCI-2012-01732, NCT01730950	Brain
287	LIJ	Vemurafenib in Treating Patients with Relapsed or Refractory Hairy Cell Leukemia	Jae Park	Kanti Rai, MD	76	Phase II	Memorial Sloan-Kettering Cancer Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 12-200, NCI-2012-02170, NCT01711632	Leukemia
288	LIJ	Multi-center Trial of Revlimid® and Rituximab, for First-Line Treatment of Chronic Lymphocytic Leukemia (CLL)	William George Wierda	Kanti Rai, MD	76	Phase II	MD Anderson Cancer Center; Celgene Corporation	IIT; Pharma	 Treatment	 18 and over	 2008-0385, NCI-2009-01510, Celgene # RV-CLL-PI-0223, NCT00628238	Leukemia
289	Feinstein Institute	A Phase II Study of the BRAF Inhibitor, Vemurafenib, in Patients with Relapsed or Refractory Hairy Cell Leukemia		Kanti Rai, MD	76	Phase II			Treatment	man or woman 18 years of age or older	13-286B 	Leukemia
290	NSHS-Children's	Combination Chemotherapy in Treating Younger Patients with Newly Diagnosed, Non-Metastatic Desmoplastic Medulloblastoma	Lucie E. Lafay-Cousin	Mark P. Atlas, MD	129	Phase II	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 47 months old or younger	 ACNS1221, NCI-2013-02379, COG-ACNS1221, NCT02017964	Brain
291	NSHS-Children's	Chemotherapy Followed by Radiation Therapy in Treating Younger Patients With Newly Diagnosed Localized Central Nervous System Germ Cell Tumors	Ute Katharina Bartels	Mark P. Atlas, MD	129	Phase II	Children's Oncology Group; NCI	Coop Group; NCI	 Supportive care, Treatment	 3 to 21	 ACNS1123, NCI-2012-01967, CDR0000734032, COG-ACNS1123, NCT01602666	CNS
292	NSHS-Children's	Temozolomide and Irinotecan Hydrochloride with or without Bevacizumab in Treating Young Patients with Recurrent or Refractory Medulloblastoma or CNS Primitive Neuroectodermal Tumors	Adam Scott Levy	Mark P. Atlas, MD	129	Phase II	NCI	NCI	 Treatment	 21 and under	 ACNS0821, NCI-2011-02605, CDR0000686608, COG-ACNS0821, NCT01217437	CNS
293	NSLIJ 	Clarithromycin, Pomalidomide and Dexamethasone with or without Stem Cell Transplant in Treating Patients with Relapsed or Refractory Multiple Myeloma	Sergio Andres Giralt	Ruthee-Lu Bayer, MD	97	Phase II	Memorial Sloan-Kettering Cancer Center; NCI	IIT; NCI	 Treatment	 18 and over	 12-138, NCI-2012-02936, NCT01745588	Multiple Myeloma
294	Feinstein Institute	A Phase II Clinical Trial of Lenalidomide Intensification in Patients with Serologic/Asymptomatic Progression of Multiple Myeloma While on Lenalidomide Maintenance after Autologous Stem Cell Transplantation		Ruthee-Lu Bayer, MD	97	Phase II			Treatment		12-127A	Multiple Myeloma
295	NSLIJ	Ado-Trastuzumab Emtansine or Paclitaxel and Trastuzumab in Treating Patients with Stage I HER2-Positive Breast Cancer	Sara Michell Tolaney	Sara Michell Tolaney		Phase II	Dana-Farber Harvard Cancer Center; NCI	IIT; NCI	 Treatment	 18 and over	 13-048, NCI-2013-01818, ML28160, NCT01853748	Breast
296	LIJ; NSLIJ	Radiation Therapy with or without Cisplatin in Treating Patients with Recurrent Endometrial Cancer	Jonathan Michael Feddock	Veena Susan John, MD	95	Phase II	NRG Oncology; NCI	Coop Group; NCI	 Treatment	 Not specified	 GOG-0238, NCI-2009-00603, CDR0000550975, NCT00492778	Endometrius
297	NSHS-Children's	Radiation Therapy with or without Combination Chemotherapy or Pazopanib Hydrochloride before Surgery in Treating Patients with Newly Diagnosed Non-Rhabdomyosarcoma Soft Tissue Sarcomas That Can Be Removed by Surgery	Aaron Robert Weiss	Carolyn Fein Levy, MD	91	Phase II/III	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 2 and over	 ARST1321, NCI-2014-01340, NCT02180867	Sarcoma
298	Feinstein Institute	Phase II/III Study of Image-Guided Radiosurgery/SBRT for Localized Spine Metastasis		Jonathan Knisely, MD	175	Phase II/III			Treatment	18 years of age or older	13-465B	Mets; Spine
299	NSLIJ 	Image-Guided Radiosurgery or Stereotactic Body Radiation Therapy in Treating Patients with Localized Spine Metastasis	Samuel Ryu	Jonathan Knisely, MD	175	Phase II/III	NRG Oncology; NCI	Coop Group; NCI	 Treatment	 18 and over	 RTOG 0631, NCI-2009-01687, CDR0000646803, NCT00922974	Spine; Mets
300	NSLIJ; NSHS-SS; NSHS-Huntington	Chemotherapy Alone or Chemotherapy Plus Radiation Therapy in Treating Patients with Locally Advanced Rectal Cancer Undergoing Surgery	Deborah Schrag	Tony Philip, MD	101	Phase II/III	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 N1048, NCI-2012-00234, CDR0000715321, NCCTG-N1048, PN1048_A11PAMDREVW01, NCT01515787	Colorectal
301	NSLIJ 	Rituximab and Bendamustine Hydrochloride, Rituximab and Ibrutinib, or Ibrutinib Alone in Treating Older Patients with Previously Untreated Chronic Lymphocytic Leukemia	Jennifer Ann Woyach	Amy Sharma, MD	144	Phase III	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 65 and over	 A041202, NCI-2013-01220, ALLIANCE A041202, NCT01886872	Leukemia
302	Feinstein Institute	A Randomized Phase III Study of Bendamustine Plus Rituximab vs. Ibrutinib Plus Rituximab vs. Ibrutinib Alone in Untreated Older Patients with Chronic Lymphocytic Leukemia (CLL)		Amy Sharma, MD	144	Phase III			Treatment	65 years of age or older	E14-191	Leukemia
303	NSHS-Children's	Brentuximab Vedotin and Combination Chemotherapy in Treating Younger Patients with Newly Diagnosed Hodgkin Lymphoma	Sharon M. Castellino	Arlene Sara Redner, MD	119	Phase III	NCI	NCI	 Biomarker/Laboratory analysis, Health services research, Supportive care, Treatment	 18 and younger	 AHOD1331, NCI-2014-01223, NCT02166463	Lymphoma
304	NSHS-Children's	Combination Chemotherapy in Treating Young Patients With Newly Diagnosed High-Risk Acute Lymphoblastic Leukemia	Michael J. Burke	Arlene Sara Redner, MD	119	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 1 to 30	 AALL1131, NCI-2011-03797, CDR0000706370, COG-AALL1131, U10CA098543, NCT01406756	Leukemia
305	NSHS-Children's	Combination Chemotherapy with or without Bortezomib in Treating Younger Patients with Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia or Stage II-IV T-Cell Lymphoblastic Lymphoma	David Trent Teachey	Arlene Sara Redner, MD	119	Phase III	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 2 to 30	 AALL1231, NCI-2014-00712, NCT02112916	Leukemia; Lymphoma
306	NSHS-Children's	Bortezomib and Sorafenib Tosylate in Treating Patients with Newly Diagnosed Acute Myeloid Leukemia	Richard Aplenc	Arlene Sara Redner, MD	119	Phase III	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 Under 30	 AAML1031, NCI-2011-02670, CDR0000701850, COG-AAML1031, NCT01371981	Leukemia
307	NSHS-Children's	Chlorhexidine Gluconate Cleansing in Preventing Central Line Associated Bloodstream Infection and Acquisition of Multi-drug Resistant Organisms in Younger Patients with Cancer or Undergoing Donor Stem Cell Transplant	Danielle M. Zerr	Arlene Sara Redner, MD	119	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Supportive care	 2 months to 21 years	 ACCL1034, NCI-2013-00595, COG-ACCL1034, NCT01817075	Peds
308	NSHS-Children's	Risk-Adapted Chemotherapy in Treating Younger Patients with Newly Diagnosed Standard-Risk Acute Lymphoblastic Leukemia or Localized B-Lineage Lymphoblastic Lymphoma	Anne Lisette Angiolillo	Arlene Sara Redner, MD	119	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Supportive care, Treatment	 1 to < 10	 AALL0932, NCI-2011-02599, CDR0000683227, COG-AALL0932, NCT01190930	Leukemia; Lymhoma
309	Feinstein Institute	A Randomized Phase III Study of Standard vs IMRT Pelvic Radiation for Post-Operative Treatment of Endometrial and Cervical Cancer (TIME-C)		Beatrice Bloom, MD		Phase III			Treatment	18 years of age or older	13-176A	Endometrius; Cervix
310	LIJ; NSLIJ; NSHS-SS	Standard Radiation Therapy or Intensity-Modulated Pelvic Radiation Therapy in Treating Patients with Endometrial or Cervical Cancer	Ann H. Klopp	Beatrice Bloom, MD		Phase III	NRG Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Supportive care, Treatment	 18 and over	 RTOG 1203, NCI-2012-02001, CDR0000738944, NCT01672892	Endometrius; Cervix
311	NSHS-Children's	Combination Chemotherapy in Treating Patients with Non-Metastatic Extracranial Ewing Sarcoma	Patrick J. Leavey	Carolyn Fein Levy, MD	91	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 50 and under	 AEWS1031, NCI-2011-02611, CDR0000687639, COG-AEWS1031, NCT01231906	Sarcoma
312	NSHS-Children's	Risk-Based Therapy in Treating Younger Patients with Newly Diagnosed Liver Cancer	Howard Mark Katzenstein	Carolyn Fein Levy, MD	91	Phase III	NCI	NCI	 Tissue collection/Repository, Treatment	 21 and under	 AHEP0731, NCI-2011-01975, CDR0000654889, COG-AHEP0731, NCT02265692, PAHEP0731_A08PAMDREVW01, NCT00980460	Liver
313	Feinstein Institute	A Phase III, Randomized Clinical Trial of Standard Adjuvant Endocrine Therapy +/- Chemotherapy in Patients with 1-3 Positive Nodes, Hormone Receptor-Positive and HER2-Negative Breast Cancer with Recurrence Score (RS) of 25 or Less		Iuliana Shapira, MD		Phase III			Treatment	18 or older	C12-152	Breast
314	Feinstein Institute	A Phase 3, Double-Blind Extension Study Evaluating the Efficacy and Safety of Two Different Dose Levels of Single-Agent GS-1101 (CAL-101) as Therapy for Patients with Previously Treated Chronic Lymphocytic Leukemia		Jacqueline Barrientos, MD	139	Phase III			Treatment	18 or older	12-06-85-03	Leukemia
315	LIJ; NSLIJ	Ibrutinib and Rituximab Compared With Fludarabine Phosphate, Cyclophosphamide, and Rituximab in Treating Patients With Untreated Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma	Tait D. Shanafelt	Jacqueline Barrientos, MD	139	Phase III	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 to 70	 E1912, NCI-2014-00118, ECOG-E1912, NCT02048813	Leukemia; Lymphoma
