Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
GENETIC VARIATION AND FUNCTIONAL DISABILITY IN SCHIZOPHRENIA		NIMH	7792261	5R01MH079800-04	5	R01	MH	79800	4			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010	373500		373500
PHARMACOGENOMICS OF TREATMENT RESPONSE IN FIRST EPISODE SCHIZOPHRENIA		NIMH	8065453	5P50MH080173-03	5	P50	MH	80173	3		4	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010		241551	241551
DISSECTING HETEROGENEITY OF TREATMENT RESPONSE OF FIRST EPISODE SCHIZOPHRENIA		NIMH	7851528	5P50MH080173-03	5	P50	MH	80173	3			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010	1918337		1918337
BIOMARKERS UNIT (RESEARCH METHODS CORE)		NIMH	8110776	1P30MH090590-01	1	P30	MH	90590	1		7412	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010		68960	68960
THE NINTH ANNUAL PHARMACOGENETICS IN PSYCHIATRY MEETING		NIMH	7916147	1R13MH090652-01	1	R13	MH	90652	1			3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010	46041		46041
GENETICS OF THE EARLY ONSET OF PSYCHIATRIC DISORDERS		NCRR	8167237	5M01RR018535-08	5	M01	RR	18535	8		7096	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010		848	848
GENETIC VARIATION AND FUNCTIONAL DISABILITY IN SCHIZOPHRENIA		NCRR	8167258	5M01RR018535-08	5	M01	RR	18535	8		7117	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010		53414	53414
INITIAL SCREENING FOR HEALTHY VOLUNTEERS		NCRR	8167264	5M01RR018535-08	5	M01	RR	18535	8		7123	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010		70371	70371
CEREBROSPINAL FLUID BIOMARKERS OF PSYCHIATRIC DISORDERS		NCRR	8167290	5M01RR018535-08	5	M01	RR	18535	8		7149	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010		4239	4239
CYTOCHROME P450 GENOTYPING AND CLINICAL OUTCOMES IN PATIENTS WITH SCHIZOPHRENIA		NCRR	8167291	5M01RR018535-08	5	M01	RR	18535	8		7150	3151454	MALHOTRA, ANIL K	MALHOTRA, ANIL K		Not Applicable	Feinstein Institute	 	2010		6782	6782
GENETIC CONTRIBUTIONS OF COMT GENOTYPE TO NON-MOTOR SYMPTOMS IN PD		NCRR	8167239	5M01RR018535-08	5	M01	RR	18535	8		7098	9661285	MATTIS, PAUL 	MATTIS, PAUL		Not Applicable	Feinstein Institute	 	2010		13141	13141
EVIDENCE BASED DECISION MAKING: INTEGRATING CLINICAL PREDICTION RULES INTO ELECTR		AHRQ	8262455	7R18HS018491-03	7	R18	HS	18491	3			6844006	MCGINN, THOMAS G	MCGINN, THOMAS G		Not Applicable	Feinstein Institute	 	2010			0
EXAMINATION OF COGNITIVE AND SENSORIMOTOR PROCESSES IN PATIENTS WITH EPILEPSY		NCRR	8167272	5M01RR018535-08	5	M01	RR	18535	8		7131	9480059	MEHTA, ASHESH DINESH	MEHTA, ASHESH DINESH		Not Applicable	Feinstein Institute	 	2010		5087	5087
RELAPSE PREVENTION: LONG-ACTING ATYPICAL ANTIPSYCHOTICS		NIMH	7776824	5U01MH070007-05	5	U01	MH	70007	5			6611914	MENDELOWITZ, ALAN 	MENDELOWITZ, ALAN		Not Applicable	Feinstein Institute	 	2010	239486		239486
CLINICAL TRIAL: RELAPSE PREVENTION: LONG-ACTING ATYPICAL ANTIPSYCHOTICS		NCRR	8167242	5M01RR018535-08	5	M01	RR	18535	8		7101	6611914	MENDELOWITZ, ALAN 	MENDELOWITZ, ALAN		Not Applicable	Feinstein Institute	 	2010		321758	321758
IMPROVING CARDIOMYOPATHY IN STEROID RESISTANT NEPHROTIC SYDROME		NCRR	8167267	5M01RR018535-08	5	M01	RR	18535	8		7126	1920163	MENSCH, BARBARA SENA	MENSCH, BARBARA SENA		Not Applicable	Feinstein Institute	 	2010		423	423
CHOLINERGIC REGULATION OF ENDOTHELIAL CELL ACTIVATION		NIGMS	7808744	5R01GM070727-05	5	R01	GM	70727	5			1934324	METZ, CHRISTINE N	METZ, CHRISTINE N		Not Applicable	Feinstein Institute	 	2010	244264		244264
NSLIJ TISSUE DONATION PROGRAM (GLOBAL COLLECTION PROTOCOL)		NCRR	8167213	5M01RR018535-08	5	M01	RR	18535	8		7072	1934324	METZ, CHRISTINE N	METZ, CHRISTINE N		Not Applicable	Feinstein Institute	 	2010		2077	2077
NETWORK-BASED IMAGING BIOMARKERS IN SPORADIC DYSTONIA		NCRR	8167287	5M01RR018535-08	5	M01	RR	18535	8		7146	9221110	NIETHAMMER, MARC 	NIETHAMMER, MARC		Not Applicable	Feinstein Institute	 	2010		848	848
CLINICAL TRIAL: FUTURE REVASCULARIZATION EVALUATION IN PATIENTS WITH DIABETES ME		NCRR	8167224	5M01RR018535-08	5	M01	RR	18535	8		7083	8855538	ONG, LAWRENCE 	ONG, LAWRENCE		Not Applicable	Feinstein Institute	 	2010		1272	1272
4/8-PROLONGING REMISSION IN DEPRESSED ELDERLY (PRIDE)		NIMH	7901038	5U01MH086123-02	5	U01	MH	86123	2			3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2010	243132		243132
TRIALS OPERATION UNIT (OPERATIONS CORE)		NIMH	7921177	1P30MH090590-01	1	P30	MH	90590	1		8125	3151495	PETRIDES, GEORGIOS 	PETRIDES, GEORGIOS		Not Applicable	Feinstein Institute	 	2010		184240	184240
BRAIN NETWORKS IN PARKINSON'S DISEASE		NCRR	8167218	5M01RR018535-08	5	M01	RR	18535	8		7077	8855552	POURFAR, MICHAEL 	POURFAR, MICHAEL		Not Applicable	Feinstein Institute	 	2010		8902	8902
AN EXPLORATORY TRIAL OF FOLIC ACID AND L-METHYLFOLATE IN PARKINSON'S DISEASE		NCRR	8167228	5M01RR018535-08	5	M01	RR	18535	8		7087	8855552	POURFAR, MICHAEL 	POURFAR, MICHAEL		Not Applicable	Feinstein Institute	 	2010		2120	2120
PARKINSON'S DISEASE GENETICS DATABASE		NCRR	8167240	5M01RR018535-08	5	M01	RR	18535	8		7099	8855552	POURFAR, MICHAEL 	POURFAR, MICHAEL		Not Applicable	Feinstein Institute	 	2010		1695	1695
PROTEASOME; PROTEIN OXIDATION; AND CARDIOMYOCYTE FUNCTION.		NHLBI	7869219	5R01HL068936-07	5	R01	HL	68936	7			1903015	POWELL, SAUL R 	POWELL, SAUL R		WANG, XUEJUN 	Feinstein Institute	 	2010	414499		414499
EFFECT OF LAPRASCOPIC NEPHRON SPARING SURGERY ON KIDNEY FUNCTION		NCRR	8167255	5M01RR018535-08	5	M01	RR	18535	8		7114	9874121	RICHSTONE, LEE 	RICHSTONE, LEE		Not Applicable	Feinstein Institute	 	2010		4239	4239
ADHERENCE UNIT (RESEARCH METHODS CORE)		NIMH	8110772	1P30MH090590-01	1	P30	MH	90590	1		7410	1894605	ROBINSON, DELBERT G	ROBINSON, DELBERT G		Not Applicable	Feinstein Institute	 	2010		57189	57189
CLINICAL TRIAL: PREVENTING MORBIDITY IN FIRST EPISODE SCHIZOPHRENIA		NCRR	8167220	5M01RR018535-08	5	M01	RR	18535	8		7079	1894605	ROBINSON, DELBERT G	ROBINSON, DELBERT G		Not Applicable	Feinstein Institute	 	2010		676250	676250
ABERRANT SIGNALING IN B-1 CELLS		NIAID	7936838	5R01AI029690-19	5	R01	AI	29690	19			1871601	ROTHSTEIN, THOMAS L	ROTHSTEIN, THOMAS L		Not Applicable	Feinstein Institute	 	2010	410850		410850
AN ALTERNATE PATHWAY TO AUTOIMMUNITY		NIAID	7760072	5R01AI075141-03	5	R01	AI	75141	3			1871601	ROTHSTEIN, THOMAS L	ROTHSTEIN, THOMAS L		Not Applicable	Feinstein Institute	 	2010	369765		369765
FAIM IN IMMUNITY AND AUTOIMMUNITY		NIAID	7987067	1R01AI083509-01A1	1	R01	AI	83509	1	A1		1871601	ROTHSTEIN, THOMAS L	ROTHSTEIN, THOMAS L		Not Applicable	Feinstein Institute	 	2010	415000		415000
B1 CELL INDUCTION OF TH17 CELL DIFFERENTIATION		NIAMS	7774358	5R21AR056364-02	5	R21	AR	56364	2			1871601	ROTHSTEIN, THOMAS L	ROTHSTEIN, THOMAS L		Not Applicable	Feinstein Institute	 	2010	184883		184883
IMAGING THE CAUSES AND CONSEQUENCES OF ADOLESCENT INHALANT ABUSE		NIDA	7787354	1R01DA025729-01A1	1	R01	DA	25729	1	A1		6840635	SCHIFFER, WYNNE K	SCHIFFER, WYNNE K		Not Applicable	Feinstein Institute	 	2010	477230		477230
IMAGING NANOPARTICLE INTERACTIONS WITH LIVING SYSTEMS		NIEHS	7944099	5RC1ES018534-02	5	RC1	ES	18534	2			6840635	SCHIFFER, WYNNE K	SCHIFFER, WYNNE K		Not Applicable	Feinstein Institute	YES	2010	430076		430076
RELAPSE PREVENTION STUDY: STEERING AND IMPLEMENTATION		NIMH	7774403	5U01MH070023-05	5	U01	MH	70023	5			6520264	SCHOOLER, NINA R	SCHOOLER, NINA R		Not Applicable	Feinstein Institute	 	2010	160215		160215
REM BEHAVIOR DISORDER AND PARKINSONISM: A LONGITUDINAL PET IMAGING STUDY		NCRR	8167259	5M01RR018535-08	5	M01	RR	18535	8		7118	10206907	SCHWARTZ, GUY 	SCHWARTZ, GUY		Not Applicable	Feinstein Institute	 	2010		1695	1695
REDUCTION OF NOCTURNAL HYPERTENSION IN PEDIATRIC RENAL TRANSPLANT RECIPIENTS		NCRR	8167277	5M01RR018535-08	5	M01	RR	18535	8		7136	9814923	SETHNA, CHRISTINE 	SETHNA, CHRISTINE		Not Applicable	Feinstein Institute	 	2010		1272	1272
IMPROVING SUBSTANCE USE AND CLINICAL OUTCOMES IN HEAVY CANNABIS USERS		NIDA	7991192	1R21DA029131-01A1	1	R21	DA	29131	1	A1		6996976	SEVY, SERGE 	SEVY, SERGE		Not Applicable	Feinstein Institute	 	2010	248566		248566
TRAINING UNIT (OPERATIONS CORE)		NIMH	8110770	1P30MH090590-01	1	P30	MH	90590	1		7408	6996976	SEVY, SERGE 	SEVY, SERGE		Not Applicable	Feinstein Institute	 	2010		80035	80035
PROJECT 2 ACISR		NIMH	8110778	1P30MH090590-01	1	P30	MH	90590	1		7414	6996976	SEVY, SERGE 	SEVY, SERGE		Not Applicable	Feinstein Institute	 	2010		96013	96013
EFFECTS OF BRANCHED CHAIN AMINO ACIDS ON DOPAMINE FUNCTION IN HEALTHY SUBJECTS		NCRR	8167231	5M01RR018535-08	5	M01	RR	18535	8		7090	6996976	SEVY, SERGE 	SEVY, SERGE		Not Applicable	Feinstein Institute	 	2010		423	423
RACLOPRIDE PET STUDY IN FIRST-EPISODE PSYCHOSIS		NCRR	8167271	5M01RR018535-08	5	M01	RR	18535	8		7130	6996976	SEVY, SERGE 	SEVY, SERGE		Not Applicable	Feinstein Institute	 	2010		848	848
REGULATION OF CHEMOKINE RECEPTOR EXPRESSION DURING SEPSIS		NCRR	8167223	5M01RR018535-08	5	M01	RR	18535	8		7082	1875164	SHERRY, BARBARA 	SHERRY, BARBARA	78	Not Applicable	Feinstein Institute	 	2010		25266	25266
REGULATION OF CHEMOKINE RECEPTOR EXPRESSION IN SEPSIS		NIAID	7755394	5R01AI059742-05	5	R01	AI	59742	5			1882085	SHERRY, BARBARA	SHERRY, BARBARA	78	Not Applicable	Feinstein Institute	 	2010	272298		272298
ASSOCIATION OF ELEVATED RANDOM BLOOD GLUCOSE WITH UNDIAGNOSED DIABETES		NCRR	8167252	5M01RR018535-08	5	M01	RR	18535	8		7111	2059340	SILVERMAN, ROBERT A	SILVERMAN, ROBERT A		Not Applicable	Feinstein Institute	 	2010		13989	13989
P66SHCA IN HIV ASSOCIATED NEPHROPATHY		NIDDK	7839901	1R01DK083931-01A2	1	R01	DK	83931	1	A2		1863819	SINGHAL, PRAVIN C	SINGHAL, PRAVIN C		Not Applicable	Feinstein Institute	 	2010	728670		728670
RENIN ANGIOENSIN ALDOSTERONE SYSTEM IN DRUB ABUSE AND HIV-ASSOCIATED NEPHROPATHY		NIDDK	7929365	1R01DK084910-01A1	1	R01	DK	84910	1	A1		1863819	SINGHAL, PRAVIN C	SINGHAL, PRAVIN C		Not Applicable	Feinstein Institute	 	2010	415000		415000
NEUROBEHAVIORAL CONSEQUENCES OF ADOLESCENT ALCOHOL: ROLE OF GONADAL HORMONES		NIAAA	7845600	5R01AA017359-04	5	R01	AA	17359	4			1864483	SIRCAR, RATNA 	SIRCAR, RATNA		Not Applicable	Feinstein Institute	 	2010	360497		360497
STRIATAL D2/D3 DOPAMINE RECEPTOR AVAILABILITY IN FIRST EPISODE SCHIZOPHRENIA		NIMH	8065452	5P50MH080173-03	5	P50	MH	80173	3		3	1960081	SMITH, GWENN S	SMITH, GWENN S		Not Applicable	Feinstein Institute	 	2010		170730	170730
THE TRIALNET NATURAL HISTORY STUDY OF THE DEVELOPMENT OF TYPE 1 DIABETES		NCRR	8167217	5M01RR018535-08	5	M01	RR	18535	8		7076	1880388	SPEISER, PHYLLIS W	SPEISER, PHYLLIS W		Not Applicable	Feinstein Institute	 	2010		18228	18228
TYPE 1 DIABETES GENETICS CONSORTIUM		NCRR	8167230	5M01RR018535-08	5	M01	RR	18535	8		7089	1880388	SPEISER, PHYLLIS W	SPEISER, PHYLLIS W		Not Applicable	Feinstein Institute	 	2010		423	423
PREVENTING TYPE 2 DIABETES IN CHILDREN (REDUCE OBESITY AND DIABETES - ROAD)		NCRR	8167244	5M01RR018535-08	5	M01	RR	18535	8		7103	1880388	SPEISER, PHYLLIS W	SPEISER, PHYLLIS W		Not Applicable	Feinstein Institute	 	2010		31371	31371
TISSUE BANKING FOR PATIENTS WITH LARYNGEAL AND TRACHEAL DISEASE		NCRR	8167253	5M01RR018535-08	5	M01	RR	18535	8		7112	1869266	STEINBERG, BETTIE M.	STEINBERG, BETTIE M.	82	Not Applicable	Feinstein Institute	 	2010		25012	25012
DIFFUSION TENSOR IMAGING IN FIRST-EPISODE SCHIZOPHRENIA		NIMH	7817153	5R01MH076995-04	5	R01	MH	76995	4			1988051	SZESZKO, PHILIP R	SZESZKO, PHILIP R		Not Applicable	Feinstein Institute	 	2010	298800		298800
MR IMAGING PREDICTORS OF RESPONSE & OUTCOME IN FIRST EPISODE SCHIZOPHRENIA		NIMH	8065451	5P50MH080173-03	5	P50	MH	80173	3		2	1988051	SZESZKO, PHILIP R	SZESZKO, PHILIP R		Not Applicable	Feinstein Institute	 	2010		189127	189127
DIFFUSION TENSOR IMAGING IN FIRST EPISODE SCHIZOPHRENIA		NCRR	8167222	5M01RR018535-08	5	M01	RR	18535	8		7081	1988051	SZESZKO, PHILIP R	SZESZKO, PHILIP R		Not Applicable	Feinstein Institute	 	2010		41968	41968
GENETICS OF WHITE MATTER DEFICITS IN SCHIZOPHRENIA		NCRR	8167249	5M01RR018535-08	5	M01	RR	18535	8		7108	1988051	SZESZKO, PHILIP R	SZESZKO, PHILIP R		Not Applicable	Feinstein Institute	 	2010		38577	38577
WHITE MATTER ENDOPHENOTYPES IN BIPOLAR DISORDER		NCRR	8167288	5M01RR018535-08	5	M01	RR	18535	8		7147	1988051	SZESZKO, PHILIP R	SZESZKO, PHILIP R		Not Applicable	Feinstein Institute	 	2010		4239	4239
BIOMARKERS IN THE EVALUATION OF CHRONIC LUNG DISEASE		NCRR	8167284	5M01RR018535-08	5	M01	RR	18535	8		7143	9661287	TALWAR, ARUNABH 	TALWAR, ARUNABH		Not Applicable	Feinstein Institute	 	2010		14838	14838
BRAIN NETWORKS AS FUNCTIONAL BIOMARKERS OF PRECLINICAL HUNTINGTON'S DISEASE		NCRR	8167238	5M01RR018535-08	5	M01	RR	18535	8		7097	8268064	TANG, CHAI-MEI 	TANG, CHAI-MEI		Not Applicable	Feinstein Institute	 	2010		4239	4239
MACROPHAGE INACTIVATION IN SEPSIS AFTER SHOCK OR TRAUMA		NIGMS	7924508	5R01GM057226-11	5	R01	GM	57226	11			1868889	TRACEY, KEVIN J	TRACEY, KEVIN J		Not Applicable	Feinstein Institute	 	2010	369765		369765
GENERAL CLINICAL RESEARCH CENTER		NCRR	7877017	5M01RR018535-08	5	M01	RR	18535	8			1868889	TRACEY, KEVIN J	TRACEY, KEVIN J		Not Applicable	Feinstein Institute	 	2010	2373121		2373121
A DECOY RECEPTOR AS A NOVEL BIOMARKER FOR AUTOIMMUNE INNER EAR DISEASE		NIDCD	7821271	5R21DC008894-02	5	R21	DC	8894	2			2091231	VAMBUTAS, ANDREA 	VAMBUTAS, ANDREA		Not Applicable	Feinstein Institute	YES	2010	166000		166000
NATIONAL CENTER ON BIRTH DEFECTS AND DEVELOPMENTAL DISABILITIES; DIRECTED SOURCE 		NCBDD	8075198	1H75DD000702-01	1	H75	DD	702	1			8168696	VLACHOS, ADRIANNA 	VLACHOS, ADRIANNA		Not Applicable	Feinstein Institute	 	2010	300000		300000
DEVELOPMENTAL NEUROTOXICITY: MATERNAL ANTI-NMDAR ANTIBODIES AND FETAL DEVELOPMENT		NIAID	8122314	5P01AI073693-03	5	P01	AI	73693	3		2	1990052	VOLPE, BRUCE THOMAS	VOLPE, BRUCE THOMAS		Not Applicable	Feinstein Institute	 	2010		247221	247221
MECHANISMS OF NOVEL HERBAL THERAPIES FOR SEPSIS.		NCCAM	7992602	1R01AT005076-01A2	1	R01	AT	5076	1	A2		6626369	WANG, HAICHAO 	WANG, HAICHAO		Not Applicable	Feinstein Institute	 	2010	332000		332000
REGULATION OF HMGB1 RELEASE IN ENDOTOXEMIA		NIGMS	7860285	5R01GM063075-07	5	R01	GM	63075	7			6626369	WANG, HAICHAO 	WANG, HAICHAO		Not Applicable	Feinstein Institute	 	2010	246839		246839
REGULATION OF AGE-RELATED INFLAMMATION IN SEPTIC SHOCK		NIA	7826608	5R01AG028352-05	5	R01	AG	28352	5			1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	 	2010	318653		318653
RADIATION COMBINED INJURY: MECHANISMS AND THERAPEUTIC APPROACHES		NIAID	8112110	3R33AI080536-03S1	3	R33	AI	80536	3	S1		1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	YES	2010	103750		103750
RADIATION COMBINED INJURY: MECHANISMS AND THERAPEUTIC APPROACHES		NIAID	8084914	4R33AI080536-03	4	R33	AI	80536	3			1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	 	2010	415000		415000
SEPSIS AND MEDIATORS: THE ROLE OF MFG-E8		NIGMS	8126589	3R01GM057468-13S1	3	R01	GM	57468	13	S1		1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	YES	2010	46062		46062
SEPSIS AND MEDIATORS: THE ROLE OF MFG-E8		NIGMS	7730837	5R01GM057468-13	5	R01	GM	57468	13			1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	 	2010	336897		336897
HOW INHIBITION SHAPES NEURONAL AND BEHAVIORAL RESPONSES TO AUDITORY STIMULI		NINDS	8119079	5F32NS065676-03	5	F32	NS	65676	3			9173859	BORGES, KATHARINE 	BORGES, KATHARINE		Not Applicable	Cold Spring Harbor	 	2011	54734		54734
COMPLEX DECISIONS AND THE BRAIN: AN EXPERIMENTAL AND THEORETICAL APPROACH		NEI	8150943	5R00EY019072-04	5	R00	EY	19072	4			6357328	CHURCHLAND, ANNE KATHRYN	CHURCHLAND, ANNE KATHRYN	39	Not Applicable	Cold Spring Harbor	 	2011	236939		236939
GENOME-WIDE REGULATORY NETWORK GOVERNING NEURONAL MRNA TRANSLATION.		NINDS	8130734	5R01NS067690-03	5	R01	NS	67690	3			1896422	DUBNAU, JOSHUA T	DUBNAU, JOSHUA T	40	Not Applicable	Cold Spring Harbor	 	2011	430650		430650
STRUCTURE AND FUNCTION OF NMDA RECEPTORS		NIMH	8033267	5R01MH085926-02	5	R01	MH	85926	2			9343008	FURUKAWA, HIROYASU 	FURUKAWA, HIROYASU	41	Not Applicable	Cold Spring Harbor	 	2011	430650		430650
CSHL CELL AND DEVELOPMENTAL BIOLOGY OF XENOPUS		NICHD	8050154	5T15HD030269-19	5	T15	HD	30269	19			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2011	56335		56335
CSHL NEUROBIOLOGY SHORT TERM TRAINING		NIMH	8119773	5R25MH063628-10	5	R25	MH	63628	10			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2011	220894		220894
GENETIC ANALYSIS OF CHANDELIER CELLS DURING CORTICAL CIRCUIT ASSEMBLY		NIMH	8163934	1R01MH094705-01	1	R01	MH	94705	1			7101385	HUANG, Z JOSH	HUANG, Z JOSH	43	Not Applicable	Cold Spring Harbor	 	2011	556080		556080
FUNCTIONS OF DISTINCT INTERNEURON SUBTYPES IN CORTICAL DYNAMICS AND BEHAVIOR		NINDS	8162791	1R01NS075531-01	1	R01	NS	75531	1			9292719	KEPECS, ADAM 	KEPECS, ADAM	46	Not Applicable	Cold Spring Harbor	 	2011	388063		388063
QUANTITIATIVE MODEL FOR THE DEVELOPMENT OF NEURAL TOPOGRAPHIC MAPS		NEI	8013800	5R01EY018068-04	5	R01	EY	18068	4			8569429	KOULAKOV, ALEXEI 	KOULAKOV, ALEXEI	47	Not Applicable	Cold Spring Harbor	 	2011	413424		413424
CRCNS:  COMPUTATIONAL MODEL FOR NEURAL STEM CELL DIVISIONS IN THE ADULT BRAIN		NIMH	8111273	5R01MH092928-02	5	R01	MH	92928	2			8569429	KOULAKOV, ALEXEI  	KOULAKOV, ALEXEI	47	ENIKOLOPOV, GRIGORI N	Cold Spring Harbor	 	2011	334485		334485
THE SYNAPTIC CIRCUITRY OF THE LATERAL HABENULA AND BEHAVIORAL DEPRESSION		NIMH	8100514	5R01MH091903-02	5	R01	MH	91903	2			9112301	LI, BO 	LI, BO	49	Not Applicable	Cold Spring Harbor	 	2011	518880		518880
TRANSPOSONS; RNA INTERFERENCE AND HETEROCHROMATIN		NIGMS	8188019	2R01GM067014-07	2	R01	GM	67014	7			1964343	MARTIENSSEN, ROBERT A	MARTIENSSEN, ROBERT A	18	Not Applicable	Cold Spring Harbor	 	2011	354798		354798
2/2-RARE BIPOLAR LOCI IDENTIFICATION THROUGH SYNAPTOME SEQUENCING.		NIMH	8116675	5R01MH087992-02	5	R01	MH	87992	2			7864920	MCCOMBIE, WILLIAM RICHARD	MCCOMBIE, WILLIAM RICHARD	19	Not Applicable	Cold Spring Harbor	 	2011	1039526		1039526
THE MISSING CIRCUIT:  THE FIRST BRAINWIDE CONNECTIVITY MAP FOR MOUSE		NIMH	8085811	5R01MH087988-03	5	R01	MH	87988	3			6487852	MITRA, PARTHA PRATIM	MITRA, PARTHA PRATIM	52	Not Applicable	Cold Spring Harbor	 	2011	914483		914483
2008 CSHL MOLECULAR GENETICS OF AGING CONFERENCE		NIA	8039927	5R13AG032154-04	5	R13	AG	32154	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
2010 COLD SPRING HARBOR LABORATORY CONFERENCE ON MOLECULAR CHAPERONES AND STRESS		NIA	8068327	5R13AG037223-02	5	R13	AG	37223	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
2012 CSHL PTEN PATHWAYS AND TARGETS CONFERENCE		NIA	8256883	1R13AG042312-01	1	R13	AG	42312	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	7500		7500
2008 CSHL GENE EXPRESSION AND SIGNALING IN THE IMMUNE SYSTEM CONFERENCE		NIAID	8039236	5R13AI078720-04	5	R13	AI	78720	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
RETROVIRUSES		NIAID	8117425	1R13AI094631-01	1	R13	AI	94631	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	15000		15000
2011 CONFERENCE ON MICROBIAL PATHOGENESIS AND HOST RESPONSE		NIAID	8204142	1R13AI096767-01	1	R13	AI	96767	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	15000		15000
CSHL CONFERENCE ON NETWORK BIOLOGY		NCI	7808909	5R13CA138140-02	5	R13	CA	138140	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	5000		5000
2011 EUKARYOTIC MRNA PROCESSING CONFERENCE		NCI	8128076	1R13CA159737-01	1	R13	CA	159737	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	4000		4000
2011 EUKARYOTIC DNA REPLICATION & GENOME MAINTENANCE		NCI	8125533	1R13CA159756-01	1	R13	CA	159756	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	6500		6500
THE BIOLOGY OF CANCER: MICROENVIRONMENT; METASTASIS & THEURAPEUTICS		NCI	8130052	1R13CA159803-01	1	R13	CA	159803	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	3000		3000
CSHL 2011 CELLULAR BIOLOGY OF ADDICTION COURSE		NIDA	8120209	2R13DA019791-04	2	R13	DA	19791	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	79300		79300
COLD SPRING HARBOR LABORATORY CONFERENCE ON PHARMACOGENOMICS & PERSONALIZED THERA		NIGMS	8149803	5R13GM096522-02	5	R13	GM	96522	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
2011 SYMPOSIUM CONFERENCE: METABOLISM & DISEASE		NIGMS	8119289	1R13GM097935-01	1	R13	GM	97935	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	28000		28000
2011 CSHL YEAST CELL BIOLOGY CONFERENCE		NIGMS	8122810	1R13GM097947-01	1	R13	GM	97947	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	5000		5000
2008 CSHL GERM CELLS CONFERENCE		NICHD	8078150	5R13HD058377-04	5	R13	HD	58377	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
COLD SPRING HARBOR LABORATORY 2010 CONFERENCE OF VERTEBRATE ORGANOGENESIS		NICHD	8049735	5R13HD065371-02	5	R13	HD	65371	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
2008 THE BIOLOGY OF GENOMES CONFERENCE		NHGRI	8055304	5R13HG003676-07	5	R13	HG	3676	7			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	39339		39339
